"sensor","co2","temp","humidity","time"
"S00001",1033,28.18036,35.46295,2020-12-09 19:31:49
"S00001",1034,28.20706,35.40955,2020-12-09 19:31:52
"S00001",1034,28.19371,35.43701,2020-12-09 19:31:55
"S00001",1035,28.22308,35.4126,2020-12-09 19:31:58
"S00001",1035,28.16701,35.32104,2020-12-09 19:32:01
"S00001",1035,28.23643,35.42633,2020-12-09 19:32:04
"S00001",1036,28.22308,35.39581,2020-12-09 19:32:07
"S00001",1036,28.22308,35.35461,2020-12-09 19:32:10
"S00001",1037,28.20706,35.35309,2020-12-09 19:32:13
"S00001",1037,28.24979,35.35767,2020-12-09 19:32:16
"S00001",1037,28.23643,35.35461,2020-12-09 19:32:19
"S00001",1037,28.24979,35.35767,2020-12-09 19:32:22
"S00001",1038,28.26582,35.27527,2020-12-09 19:32:25
"S00001",1038,28.27917,35.2478,2020-12-09 19:32:28
"S00001",1039,28.27917,35.289,2020-12-09 19:32:31
"S00001",1039,28.30587,35.19287,2020-12-09 19:32:34
"S00001",1040,28.29252,35.22034,2020-12-09 19:32:37
"S00001",1039,28.29252,35.2066,2020-12-09 19:32:40
"S00001",1041,28.30587,35.22186,2020-12-09 19:32:43
"S00001",1041,28.30587,35.17914,2020-12-09 19:32:46
"S00001",1042,28.33524,35.16693,2020-12-09 19:32:49
"S00001",1043,28.33524,35.23865,2020-12-09 19:32:52
"S00001",1044,28.33524,35.19745,2020-12-09 19:32:55
"S00001",1045,28.33524,35.22491,2020-12-09 19:32:58
"S00001",1047,28.32189,35.22186,2020-12-09 19:33:01
"S00001",1049,28.34859,35.19745,2020-12-09 19:33:04
"S00001",1053,28.36462,35.16998,2020-12-09 19:33:07
"S00001",1063,28.37797,35.17151,2020-12-09 19:33:10
"S00001",1081,28.37797,35.15778,2020-12-09 19:33:13
"S00001",1081,28.39132,35.10284,2020-12-09 19:33:16
"S00001",1090,28.36462,35.12878,2020-12-09 19:33:19
"S00001",1084,28.36462,35.12878,2020-12-09 19:33:22
"S00001",1086,28.40467,35.06165,2020-12-09 19:33:25
"S00001",1087,28.39132,35.10284,2020-12-09 19:33:28
"S00001",1088,28.40467,35.01892,2020-12-09 19:33:31
"S00001",1092,28.39132,34.9884,2020-12-09 19:33:34
"S00001",1093,28.40467,35.00519,2020-12-09 19:33:37
"S00001",1096,28.42069,34.95026,2020-12-09 19:33:40
"S00001",1097,28.42069,34.99298,2020-12-09 19:33:43
"S00001",1095,28.4474,34.93805,2020-12-09 19:33:46
"S00001",1095,28.42069,34.97772,2020-12-09 19:33:49
"S00001",1094,28.43404,34.95178,2020-12-09 19:33:52
"S00001",1094,28.4474,34.91058,2020-12-09 19:33:55
"S00001",1095,28.4474,34.93805,2020-12-09 19:33:58
"S00001",1096,28.46075,34.89685,2020-12-09 19:34:01
"S00001",1095,28.46075,34.91058,2020-12-09 19:34:04
"S00001",1096,28.47677,34.92737,2020-12-09 19:34:07
"S00001",1095,28.47677,34.9411,2020-12-09 19:34:10
"S00001",1097,28.49012,34.92889,2020-12-09 19:34:13
"S00001",1097,28.46075,34.88312,2020-12-09 19:34:16
"S00001",1097,28.49012,34.88617,2020-12-09 19:34:19
"S00001",1096,28.47677,34.85565,2020-12-09 19:34:22
"S00001",1096,28.49012,34.87244,2020-12-09 19:34:25
"S00001",1097,28.47677,34.82819,2020-12-09 19:34:28
"S00001",1097,28.50347,34.8587,2020-12-09 19:34:31
"S00001",1096,28.50347,34.83124,2020-12-09 19:34:34
"S00001",1097,28.49012,34.82819,2020-12-09 19:34:37
"S00001",1098,28.50347,34.84497,2020-12-09 19:34:40
"S00001",1098,28.53284,34.8053,2020-12-09 19:34:43
"S00001",1098,28.51949,34.80377,2020-12-09 19:34:46
"S00001",1099,28.51949,34.83276,2020-12-09 19:34:49
"S00001",1099,28.51949,34.80377,2020-12-09 19:34:52
"S00001",1100,28.5462,34.8053,2020-12-09 19:34:55
"S00001",1100,28.53284,34.74884,2020-12-09 19:34:58
"S00001",1101,28.51949,34.80377,2020-12-09 19:35:01
"S00001",1100,28.5462,34.7641,2020-12-09 19:35:04
"S00001",1099,28.55955,34.78088,2020-12-09 19:35:07
"S00001",1100,28.5462,34.7641,2020-12-09 19:35:10
"S00001",1100,28.55955,34.80835,2020-12-09 19:35:13
"S00001",1100,28.5462,34.7641,2020-12-09 19:35:16
"S00001",1099,28.57824,34.72595,2020-12-09 19:35:19
"S00001",1099,28.55955,34.73663,2020-12-09 19:35:22
"S00001",1099,28.57824,34.70917,2020-12-09 19:35:25
"S00001",1100,28.57824,34.69543,2020-12-09 19:35:28
"S00001",1100,28.55955,34.7229,2020-12-09 19:35:31
"S00001",1099,28.55955,34.69391,2020-12-09 19:35:34
"S00001",1100,28.59159,34.71222,2020-12-09 19:35:37
"S00001",1100,28.57824,34.63898,2020-12-09 19:35:40
"S00001",1100,28.59159,34.71222,2020-12-09 19:35:43
"S00001",1099,28.59159,34.6405,2020-12-09 19:35:46
"S00001",1099,28.59159,34.71222,2020-12-09 19:35:49
"S00001",1100,28.59159,34.62677,2020-12-09 19:35:52
"S00001",1101,28.62096,34.61609,2020-12-09 19:35:55
"S00001",1101,28.62096,34.67255,2020-12-09 19:35:58
"S00001",1101,28.60494,34.62677,2020-12-09 19:36:01
"S00001",1102,28.60494,34.61304,2020-12-09 19:36:04
"S00001",1103,28.62096,34.60236,2020-12-09 19:36:07
"S00001",1103,28.62096,34.58862,2020-12-09 19:36:10
"S00001",1103,28.60494,34.58557,2020-12-09 19:36:13
"S00001",1103,28.62096,34.60236,2020-12-09 19:36:16
"S00001",1103,28.60494,34.65729,2020-12-09 19:36:19
"S00001",1102,28.60494,34.5993,2020-12-09 19:36:22
"S00001",1102,28.62096,34.55811,2020-12-09 19:36:25
"S00001",1102,28.63432,34.58862,2020-12-09 19:36:28
"S00001",1102,28.64767,34.56116,2020-12-09 19:36:31
"S00001",1102,28.63432,34.53064,2020-12-09 19:36:34
"S00001",1103,28.66102,34.51996,2020-12-09 19:36:37
"S00001",1102,28.64767,34.50623,2020-12-09 19:36:41
"S00001",1102,28.64767,34.48944,2020-12-09 19:36:44
